codigo_manzana,prom_edad,desv_edad,min_edad,max_edad,educacion_mas_alta,estrato,porcentaje_internet,porcentaje_luz
5000110000000001010518,35.2,20.6,2.0,97.0,6.0,4.1,0.6,0.69
5000110000000001010519,37.6,18.8,7.0,72.0,6.0,4.1,0.76,0.94
5000110000000001010521,31.0,21.5,2.0,87.0,4.0,3.1,0.5,0.94
5000110000000001010524,35.6,20.5,2.0,77.0,5.0,3.6,0.55,0.91
5000110000000001010526,35.3,19.7,2.0,82.0,6.0,4.0,0.59,0.67
5000110000000001010527,37.1,20.2,2.0,87.0,5.0,3.0,0.45,0.82
5000110000000001010601,40.6,22.1,2.0,82.0,4.0,2.2,0.33,0.65
5000110000000001010603,34.9,20.4,2.0,92.0,6.0,3.8,0.73,0.81
5000110000000001010604,41.4,21.9,2.0,87.0,6.0,3.2,0.77,0.94
5000110000000001010605,36.0,19.0,2.0,82.0,6.0,3.8,0.73,0.68
5000110000000001010606,40.9,21.0,2.0,77.0,6.0,3.0,0.66,0.97
5000110000000001010607,45.8,23.7,7.0,92.0,6.0,3.0,0.59,0.91
5000110000000001010608,39.8,21.8,2.0,82.0,6.0,3.1,0.84,0.88
5000110000000001010610,32.3,22.0,2.0,87.0,4.0,1.6,0.4,0.67
5000110000000001010611,33.4,19.6,2.0,72.0,6.0,3.6,0.84,0.97
5000110000000001010612,38.1,22.8,2.0,87.0,6.0,3.5,0.63,0.85
5000110000000001010613,38.3,19.9,2.0,77.0,6.0,3.7,0.79,0.92
5000110000000001010614,26.8,16.9,2.0,62.0,3.0,1.0,0.36,0.82
5000110000000001010615,33.1,19.1,2.0,67.0,7.0,3.3,0.48,0.52
5000110000000001010616,44.7,24.3,7.0,82.0,5.0,3.5,0.12,0.24
5000110000000001010618,31.0,22.0,2.0,77.0,4.0,2.1,0.55,0.91
5000110000000001010619,33.6,21.5,2.0,82.0,4.0,2.3,0.61,0.92
5000110000000001010621,29.6,19.1,2.0,87.0,4.0,1.1,0.39,0.77
5000110000000001010701,38.3,21.7,2.0,82.0,6.0,3.9,0.61,0.65
5000110000000001010702,36.9,19.7,7.0,77.0,5.0,3.2,0.68,0.75
5000110000000001010703,43.1,23.4,2.0,92.0,5.0,3.2,0.77,0.83
5000110000000001010704,48.1,22.2,7.0,77.0,5.0,3.0,0.56,0.56
5000110000000001010706,34.2,25.4,2.0,87.0,6.0,3.0,0.58,0.75
5000110000000001010707,38.2,22.6,2.0,87.0,5.0,3.0,0.59,0.68
5000110000000001010708,46.2,21.5,2.0,82.0,6.0,3.1,0.71,0.94
5000110000000001010709,47.0,23.1,7.0,87.0,5.0,3.2,0.69,0.94
5000110000000001010710,42.9,21.9,2.0,87.0,6.0,3.6,0.65,0.9
5000110000000001010711,38.9,22.4,2.0,77.0,6.0,3.7,0.68,0.8
5000110000000001010713,44.3,20.5,2.0,77.0,6.0,3.7,0.73,0.77
5000110000000001010714,40.9,23.4,2.0,87.0,6.0,3.6,0.35,0.52
5000110000000001010715,35.7,22.7,2.0,87.0,6.0,3.1,0.71,0.83
5000110000000001010717,44.0,22.4,7.0,82.0,6.0,4.6,0.55,0.67
5000110000000001010718,38.1,22.0,2.0,77.0,6.0,4.1,0.79,0.83
5000110000000001010719,41.6,22.6,2.0,87.0,6.0,3.3,0.53,1.0
5000110000000001010720,43.3,23.0,2.0,87.0,5.0,3.9,0.67,0.91
5000110000000001010721,38.3,20.5,2.0,82.0,5.0,3.6,0.7,0.85
5000110000000001010722,36.7,22.3,2.0,92.0,5.0,4.0,0.71,0.83
5000110000000001010806,39.4,21.4,2.0,72.0,7.0,4.0,0.4,0.55
5000110000000001010808,35.7,20.6,2.0,77.0,6.0,3.8,0.49,0.66
5000110000000001010809,35.4,23.4,2.0,87.0,6.0,3.6,0.79,0.79
5000110000000001010810,40.6,22.7,2.0,97.0,6.0,3.7,0.56,0.67
5000110000000001010812,47.7,24.6,2.0,82.0,6.0,4.0,0.76,0.79
5000110000000001010814,41.5,21.5,7.0,82.0,6.0,3.8,0.44,0.64
5000110000000001010815,39.6,21.6,2.0,87.0,6.0,3.8,0.63,0.69
5000110000000001010816,40.6,22.8,2.0,87.0,5.0,3.6,0.59,0.94
5000110000000001010818,43.6,21.9,2.0,87.0,6.0,3.7,0.67,0.97
5000110000000001010819,38.3,22.0,2.0,87.0,6.0,3.8,0.84,0.95
5000110000000001010820,32.8,18.1,2.0,62.0,6.0,4.5,0.82,1.0
5000110000000001010822,43.6,22.6,2.0,82.0,6.0,3.7,0.67,0.76
5000110000000001010823,40.0,22.6,2.0,92.0,5.0,3.3,0.63,0.86
5000110000000001010824,37.6,22.2,2.0,97.0,6.0,4.0,0.6,0.65
5000110000000001010826,35.1,20.3,2.0,97.0,6.0,3.7,0.48,0.65
5000110000000001010827,35.7,26.1,2.0,92.0,4.0,3.4,0.36,0.64
5000110000000001010905,38.6,24.1,2.0,87.0,5.0,3.3,0.63,0.69
5000110000000001010906,37.1,21.7,2.0,82.0,5.0,2.8,0.43,0.6
5000110000000001010907,47.9,20.8,2.0,87.0,6.0,3.9,0.45,0.68
5000110000000001010908,37.0,19.9,2.0,77.0,5.0,3.8,0.46,0.54
5000110000000001010910,37.1,18.9,2.0,77.0,5.0,3.0,0.68,1.0
5000110000000001010911,35.7,22.0,2.0,92.0,5.0,2.6,0.5,0.81
5000110000000001010912,39.4,21.7,2.0,92.0,4.0,3.0,0.6,1.0
5000110000000001010913,30.4,19.2,2.0,92.0,5.0,2.5,0.58,0.86
5000110000000001020102,38.9,21.1,2.0,92.0,6.0,4.2,0.65,0.77
5000110000000001020103,38.9,22.8,2.0,97.0,6.0,3.6,0.65,0.8
5000110000000001020104,40.6,20.9,2.0,97.0,5.0,3.6,0.68,0.92
5000110000000001020105,38.5,22.4,2.0,82.0,5.0,3.2,0.54,0.67
5000110000000001020106,32.3,19.6,2.0,82.0,4.0,2.9,0.4,0.67
5000110000000001020110,41.4,22.9,2.0,92.0,4.0,2.9,0.54,0.97
5000110000000001020111,33.7,21.3,2.0,87.0,4.0,2.8,0.54,0.96
5000110000000001020112,36.0,19.4,2.0,92.0,5.0,3.0,0.46,0.78
5000110000000001020115,33.9,20.9,2.0,87.0,5.0,2.9,0.43,1.0
5000110000000001020116,37.9,20.8,2.0,87.0,5.0,3.0,0.76,0.96
5000110000000001020117,37.0,21.3,2.0,87.0,5.0,2.9,0.62,0.85
5000110000000001020118,39.2,20.5,2.0,92.0,6.0,3.8,0.57,0.93
5000110000000001020122,38.5,19.9,2.0,82.0,6.0,3.9,0.76,0.88
5000110000000001020123,34.1,19.2,2.0,67.0,5.0,4.8,0.09,0.45
5000110000000001020126,29.7,11.3,7.0,62.0,6.0,2.5,0.71,1.0
5000110000000001020127,34.4,20.8,2.0,82.0,4.0,2.8,0.62,1.0
5000110000000001020128,48.8,22.4,2.0,92.0,5.0,3.1,0.7,0.9
5000110000000001020130,36.4,19.0,2.0,77.0,6.0,4.4,0.52,0.8
5000110000000001020132,36.8,21.3,2.0,82.0,4.0,1.8,0.4,0.72
5000110000000001020134,37.6,15.9,17.0,62.0,8.0,2.4,0.73,0.73
5000110000000001020135,36.3,23.1,2.0,82.0,3.0,2.0,0.33,1.0
5000110000000001020137,46.3,22.2,2.0,87.0,6.0,5.2,0.76,0.84
5000110000000001020138,38.5,22.2,2.0,87.0,6.0,5.5,0.7,0.91
5000110000000001020140,28.0,19.8,2.0,77.0,4.0,2.6,0.54,0.92
5000110000000001020141,42.7,22.8,7.0,82.0,5.0,6.0,0.67,0.83
5000110000000001020142,33.5,21.7,2.0,87.0,4.0,3.0,0.54,1.0
5000110000000001020143,47.5,23.7,2.0,82.0,5.0,3.1,0.6,0.9
5000110000000001020144,30.7,21.1,2.0,87.0,5.0,2.9,0.48,0.9
5000110000000001020145,41.1,20.6,2.0,77.0,7.0,3.9,0.71,0.87
5000110000000001020205,39.5,20.0,2.0,87.0,7.0,5.6,0.35,0.45
5000110000000001020207,42.9,23.8,2.0,92.0,6.0,5.7,0.64,0.82
5000110000000001020208,44.4,25.0,2.0,92.0,7.0,5.5,0.48,0.7
5000110000000001020209,36.7,20.5,2.0,77.0,6.0,5.3,0.67,0.78
5000110000000001020210,42.9,24.5,2.0,92.0,6.0,5.5,0.7,0.87
5000110000000001020211,36.8,20.0,2.0,82.0,6.0,5.3,0.54,0.62
5000110000000001020212,48.3,18.7,2.0,87.0,6.0,5.2,0.58,0.92
5000110000000001020213,46.4,26.2,2.0,97.0,6.0,5.0,0.74,0.78
5000110000000001020307,42.7,21.8,2.0,87.0,6.0,5.3,0.78,0.84
5000110000000001020308,35.8,20.3,2.0,92.0,7.0,5.2,0.68,0.75
5000110000000001020309,41.6,24.0,2.0,87.0,6.0,5.0,0.64,0.91
5000110000000001020310,48.7,23.2,7.0,92.0,6.0,5.1,0.64,0.82
5000110000000001020312,51.4,22.0,2.0,87.0,7.0,5.7,0.66,0.8
5000110000000001020313,36.5,24.1,2.0,87.0,6.0,5.0,0.7,1.0
5000110000000001020315,42.8,22.3,2.0,82.0,6.0,5.1,0.61,0.7
5000110000000001020316,42.1,24.7,2.0,92.0,6.0,5.1,0.57,0.86
5000110000000001020401,39.4,21.3,2.0,92.0,7.0,4.3,0.53,0.74
